# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-09-26 18:34:15
# Generated from file: Y:\Ellin\2021\SCiLS files\2021-07-27_NE_MB_posMS_DHBsublim.slx
# Object Full Name: PCA_2021-07-27_MB_DHB
# Object ID: 9aabae3d-923a-4cc5-9977-7b5e94506778
# Object type: PCA
# Object creation time: 2021-07-28 21:45:40
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
211;-68735540.4090071;17022530.3452257;-2881168.95038534;-10874274.8445508;-1637272.91916119
212;-72397296.941505;17417221.0266382;-2270045.72538893;-10200776.2604856;-2144140.8479841
213;-79544184.6558405;14124216.1745634;-1897881.13077812;-9785445.55010026;1512994.6402082
214;-75258607.5688508;11502140.3352657;-5037481.35874257;-8838227.9948898;-1245626.23339314
215;-99991697.3808182;-9686090.23102847;-6482853.01895866;122937.346024846;-474352.962054788
216;-76007076.6465037;-3298710.58370984;-18734474.0344974;1355082.78741825;-2391118.75985209
217;-84436269.5460587;11489165.2173922;-9814942.73597931;-4489130.51913878;-544495.054392215
218;-75725841.7390616;17142563.5835456;-2510977.68721082;-9433288.85134647;561323.806264681
219;-70148134.554855;17246681.2845268;-3314598.11931647;-7626597.07739542;2398497.31335543
220;-66000799.6718903;18256028.4725168;-4315295.27073063;-7566138.91973933;2249985.10287183
221;-75086575.6088718;17290070.9779561;-6217700.8816964;-6053354.27400471;1848065.48873553
222;-67791681.6974719;-3827089.28272482;-11612047.6193454;2332308.30147412;-957257.074954813
223;-101930691.108299;-5499715.6250997;-9049076.50299177;1693449.7951271;864815.679595046
224;-68534387.664325;2710530.36374995;-14393149.0791871;1456710.63177671;-2525277.13976603
225;-109601100.569633;15875139.5921862;52872.5927084891;-5236698.66722981;-6439014.30035818
226;-112769463.516566;16618317.3090978;-7468476.184114;-3845668.22552356;-2605516.76898692
227;-119041434.327475;15574625.2477918;-7626536.49273377;-4194329.59609741;-2243952.69882443
228;-105449396.351089;19067710.4602248;-4038309.57769909;-6699035.20213673;-3195032.89198919
229;-100278601.406379;14074705.1655943;-6065014.07365045;-2286529.83323562;-3648589.29788685
230;-112580182.482358;15448486.6708557;-6114798.62002126;-4904708.02856284;-4438414.89099332
231;-102087440.342818;14056531.7861101;-8749675.29196509;-2331778.02648595;-3352555.62377351
232;-71892106.7634028;7062234.75945232;-12212450.9666421;1282240.51464299;-1870405.38940371
233;-72369868.5023529;2565490.04378262;-15722691.1757089;2966798.64512376;-2465146.65345031
234;-107610417.084861;-661484.934161545;-15386584.214158;3993800.86826329;-992358.677734166
235;-86722777.9645971;-5168174.86026165;-10901487.0203344;3163311.15509751;-1056697.33391131
236;-70797865.1082723;4921829.09909982;-13455007.452663;512592.865905352;441327.163449558
237;-81642940.9889057;15892208.7173861;-6051954.73981528;-5861449.7925345;4546211.2890438
238;-67717762.7597749;11481389.8842391;-3945027.02145967;-4716720.04476671;4947204.63371416
239;-76868023.8418807;18618964.1868266;-4962649.25039901;-7358957.47544751;3909967.8797128
240;-58775441.3118204;2516822.44191383;-14378486.045972;-1007827.84767602;-149286.319057162
241;-78743667.8400196;-6334521.34105102;-9696297.5044522;1619133.77385142;90614.6880002809
242;-70027920.7300923;-3033097.06426971;-19060170.0800391;2051242.54731837;-1655924.12683075
243;-63551515.0746621;11377633.5648481;-8627636.08251238;-6125839.52007385;-1056176.58996336
244;-64846779.1954993;16712591.0817208;-2890065.29242898;-10549127.2559482;-127547.151101058
245;-64852391.784525;13916953.9610942;-3972353.66867104;-8604041.15698717;2623708.92333621
246;-50134874.1365235;14636751.1718072;-1899758.81365079;-9381776.11545208;3228472.02975289
247;-76978101.3070183;13192684.9979444;-5714190.88952857;-8723437.34179624;3239680.73501979
248;-80122525.878367;14107466.6798861;-3465229.19178173;-8872243.08862819;533563.209746109
249;-69598650.2906988;13089646.0014714;-725238.302764327;-10488667.4430078;3166201.03404581
250;-129294495.299581;-4907154.87830989;-1113351.08947424;-7033392.7971168;6914431.86259852
251;-62616557.170832;11917233.9955018;1389477.96707536;-10906257.9986725;3161050.80173553
252;-69729932.6508547;-503953.038570735;-14033750.7881206;-2314412.29102631;210634.808760856
253;-77607161.5923705;-4243645.44700299;-18781414.7937985;592735.006401606;-2065264.12993423
254;-89976629.0097879;-4411971.44086445;-15205442.8256307;1729187.71196795;-3127219.52832555
255;-73863976.0491417;-4060880.32554932;-19640788.6114887;1160664.41669512;-3104469.49858981
256;-71174245.3867115;-1873776.43753613;-18062225.8306188;-192378.908578353;-3624725.43516156
257;-61422853.8204471;3711341.9643534;-12468006.4699214;-3375638.51044474;-5349237.32166194
258;-77604025.4942138;6421647.98325776;-9678115.89781623;-3933889.30997594;-4401616.54847282
259;-70494197.7914824;4503708.93871769;-6893842.25736019;-5448603.85671647;-4047928.52593058
260;-78518093.7764685;7573424.30725553;-12280368.0452191;-3911461.92973172;-3403789.24561364
261;-98603891.9933924;-5626358.96160352;-7136784.08692137;-1693280.52096895;-591628.544166079
262;-95164910.0286237;-8270517.21840863;-9240326.17097938;-27115.2280808985;-1181496.39831606
263;-82246596.9000984;8630236.71122781;-12840526.927975;-3122778.1451928;-3106015.84446873
264;-82553818.4659997;21193103.875762;-1400488.43915151;-9715800.73150628;-578098.745098879
265;-63669781.2271686;17541904.8361567;78615.2371021594;-9904081.60076474;578252.758170904
266;-48650115.9359429;17840058.0893463;4525250.2258925;-10548444.2313186;1026302.94423759
267;-76750052.8476152;19024648.2536908;-3131984.35794327;-8731990.72093127;1160930.11561907
268;-49016998.1435561;8770913.94515049;-10221708.1786527;-3237674.53713903;-1986577.13384718
269;-90624891.3750631;-6991825.36678884;-5971535.14356471;1604018.45234743;-409982.717049332
270;-114716948.302133;-9508884.03592374;-994518.048340217;1408640.63767273;868589.133563899
271;-89179482.2735511;1433927.86007638;-15248905.8052435;2958299.06916852;-2908010.12456539
272;-86674088.8352361;10230915.1470464;-8718496.98244924;-731461.223178284;-4231566.53870041
273;-101997056.781343;11774058.9533751;-10683771.4306327;-1468675.81053963;-2764681.99449151
274;-99757839.1670358;14261485.0472779;-9454476.04024236;-2724958.78631657;-1168550.76301078
275;-97542296.7795966;17146315.9318955;-5440328.71686769;-6150281.91521414;-3891067.0066039
276;-76694448.4413058;19683626.2733632;-5907814.27483476;-6085263.62986275;-2615595.80739332
277;-91985200.4898845;19684392.0428541;-4711957.18482822;-7345380.29668634;-2455664.2244021
278;-77959508.7809973;21110476.9422155;-5247922.17228819;-6546086.62838292;-2348351.34426569
279;-101917548.584267;14859494.5537651;-3929579.96952101;-3670384.86296609;-4186246.64649956
